Death Valley NP,Dec,2015,78982,1583,15715,0,37
Death Valley NP,Nov,2015,76353,1728,27728,0,40
Death Valley NP,Oct,2015,106301,1777,6669,0,35
Death Valley NP,Sep,2015,90845,1915,2512,0,0
Death Valley NP,Aug,2015,115904,2014,1322,0,0
Death Valley NP,Jul,2015,118051,2039,614,0,0
Death Valley NP,Jun,2015,99063,1349,1043,0,0
Death Valley NP,May,2015,126277,6026,4381,0,3
Death Valley NP,Apr,2015,111121,6112,9955,0,38
Death Valley NP,Mar,2015,113498,2686,15069,0,0
Death Valley NP,Feb,2015,78471,2042,26858,0,103
Death Valley NP,Jan,2015,82636,1951,19296,0,109
Death Valley NP,Dec,2016,90236,1535,21190,0,59
Death Valley NP,Nov,2016,103730,1726,33677,0,36
Death Valley NP,Oct,2016,114647,1885,12883,0,11
Death Valley NP,Sep,2016,146567,5460,2854,0,0
Death Valley NP,Aug,2016,121341,1847,1002,0,0
Death Valley NP,Jul,2016,107959,1743,979,0,0
Death Valley NP,Jun,2016,54957,1061,1978,0,0
Death Valley NP,May,2016,105517,1365,6045,0,8
Death Valley NP,Apr,2016,113696,2024,10806,0,8
Death Valley NP,Mar,2016,217688,2531,55690,0,163
Death Valley NP,Feb,2016,97652,2091,39421,0,91
Death Valley NP,Jan,2016,71979,1400,17318,0,73
Death Valley NP,Dec,2017,98104,2180,20803,0,70
Death Valley NP,Nov,2017,95467,2326,28685,0,21
Death Valley NP,Oct,2017,115390,3189,9418,0,8
Death Valley NP,Sep,2017,143252,3755,3571,0,0
Death Valley NP,Aug,2017,178698,5700,1002,0,0
Death Valley NP,Jul,2017,140498,5746,461,0,0
Death Valley NP,Jun,2017,88331,2897,1040,0,0
Death Valley NP,May,2017,109285,2704,6202,0,12
Death Valley NP,Apr,2017,111579,5353,20176,0,286
Death Valley NP,Mar,2017,112342,2761,38131,0,895
Death Valley NP,Feb,2017,81663,2093,27434,0,548
Death Valley NP,Jan,2017,69514,1696,19693,0,406
Death Valley NP,Dec,2018,120953,2095,12240,103,31
Death Valley NP,Nov,2018,131714,2094,34431,249,57
Death Valley NP,Oct,2018,183372,2639,10154,83,7
Death Valley NP,Sep,2018,155735,2305,3246,6,0
Death Valley NP,Aug,2018,190120,5179,1344,4,0
Death Valley NP,Jul,2018,148594,4778,945,2,0
Death Valley NP,Jun,2018,114357,2216,1411,6,0
Death Valley NP,May,2018,164805,2433,5606,28,5
Death Valley NP,Apr,2018,146206,2871,15367,89,49
Death Valley NP,Mar,2018,170417,2671,39254,455,146
Death Valley NP,Feb,2018,134964,1961,31211,239,71
Death Valley NP,Jan,2018,83627,1969,21326,221,93
Death Valley NP,Dec,2019,140763,1947,22125,90,54
Death Valley NP,Nov,2019,137334,2125,33320,267,60
Death Valley NP,Oct,2019,143509,2389,15710,105,33
Death Valley NP,Sep,2019,175387,1862,3666,135,5
Death Valley NP,Aug,2019,172147,3943,1104,4,0
Death Valley NP,Jul,2019,148148,3146,1160,2,0
Death Valley NP,Jun,2019,126773,1517,2332,23,0
Death Valley NP,May,2019,161389,2238,7856,97,1
Death Valley NP,Apr,2019,184728,2795,19974,211,51
Death Valley NP,Mar,2019,185733,2663,36922,539,158
Death Valley NP,Feb,2019,117480,1766,25178,221,92
Death Valley NP,Jan,2019,116535,1368,2739,221,0
Death Valley NP,Dec,2020,97985,129,4494,364,0
Death Valley NP,Nov,2020,136866,1450,39460,572,0
Death Valley NP,Oct,2020,69452,531,12270,148,0
Death Valley NP,Sep,2020,40342,75,1169,32,0
Death Valley NP,Aug,2020,40994,241,969,53,0
Death Valley NP,Jul,2020,44309,259,773,2,0
Death Valley NP,Jun,2020,30621,96,247,0,0
Death Valley NP,May,2020,20826,0,0,0,0
Death Valley NP,Apr,2020,19125,0,0,0,0
Death Valley NP,Mar,2020,117017,1330,23690,50,56
Death Valley NP,Feb,2020,132695,2017,37882,230,60
Death Valley NP,Jan,2020,103002,1625,26208,223,72
Death Valley NP,Dec,2021,119124,2568,26066,369,78
Death Valley NP,Nov,2021,138462,2122,33247,332,99
Death Valley NP,Oct,2021,113394,1507,13838,214,36
Death Valley NP,Sep,2021,58058,386,1150,31,0
Death Valley NP,Aug,2021,44519,336,1201,15,0
Death Valley NP,Jul,2021,55076,475,353,27,0
Death Valley NP,Jun,2021,58377,457,960,16,0
Death Valley NP,May,2021,84079,853,4334,119,0
Death Valley NP,Apr,2021,146056,1661,19202,549,0
Death Valley NP,Mar,2021,178444,2029,48640,1199,0
Death Valley NP,Feb,2021,113589,784,30745,744,0
Death Valley NP,Jan,2021,83523,0,982,267,0
Death Valley NP,Dec,2022,113894,2065,18819,823,65
Death Valley NP,Nov,2022,97211,1853,21749,661,62
Death Valley NP,Oct,2022,55839,1430,8072,32,30
Death Valley NP,Sep,2022,56802,1230,856,1,0
Death Valley NP,Aug,2022,50146,1246,211,0,0
Death Valley NP,Jul,2022,87872,2807,644,8,0
Death Valley NP,Jun,2022,88117,1437,1208,11,0
Death Valley NP,May,2022,96183,1588,4265,32,0
Death Valley NP,Apr,2022,113158,2740,16566,314,68
Death Valley NP,Mar,2022,189239,2554,40602,719,112
Death Valley NP,Feb,2022,128909,2160,38278,499,79
Death Valley NP,Jan,2022,95806,1957,25981,183,55
Death Valley NP,Dec,2023,110773,1490,18038,929,70
Death Valley NP,Nov,2023,102735,1218,17741,307,54
Death Valley NP,Oct,2023,42731,485,5155,2,9
Death Valley NP,Sep,2023,0,0,0,0,0
Death Valley NP,Aug,2023,84448,1557,412,0,0
Death Valley NP,Jul,2023,90250,1472,710,12,0
Death Valley NP,Jun,2023,85074,940,2077,29,0
Death Valley NP,May,2023,118331,1434,4863,192,0
Death Valley NP,Apr,2023,150659,2623,20912,1026,71
Death Valley NP,Mar,2023,151532,2550,37552,1734,135
Death Valley NP,Feb,2023,119684,1833,25709,1271,52
Death Valley NP,Jan,2023,87574,1492,18237,800,61
Death Valley NP,Dec,2024,126926,3507,20546,1743,68
Death Valley NP,Nov,2024,134355,3097,24832,1482,86
Death Valley NP,Oct,2024,134701,2265,10203,318,24
Death Valley NP,Sep,2024,109060,1640,1535,88,0
Death Valley NP,Aug,2024,114522,3117,749,21,0
Death Valley NP,Jul,2024,103049,2456,716,21,3
Death Valley NP,Jun,2024,72548,1399,862,23,0
Death Valley NP,May,2024,144778,2132,4611,65,0
Death Valley NP,Apr,2024,172045,2290,19123,688,34
Death Valley NP,Mar,2024,167996,2357,41043,2217,127
Death Valley NP,Feb,2024,128951,1559,26378,1064,75
Death Valley NP,Jan,2024,88882,1463,19760,1126,59
